Username,Profile URL,Subscribers,Twitter,Instagram,TikTok,LinkedIn,Facebook,YouTube,Linktree,Threads,Bluesky,GitHub,Medium,Other,Scraped At,Category
pietroventani,https://substack.com/@pietroventani,0,https://twitter.com/PietroVentani,,,https://www.linkedin.com/in/pietroventani/,,,,,,,,,2026-01-22 01:48:24,Bestseller
thelithomebody,https://substack.com/@thelithomebody,2000,,https://instagram.com/thelithomebody,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
madfood,https://substack.com/@madfood,795,,https://instagram.com/madfoodpodcast,,,,,,,,,,https://open.spotify.com/show/2QQcdGSjlHjWEdoaUkVDnv,2026-01-22 01:48:24,Bestseller
lvoldeng,https://substack.com/@lvoldeng,0,,,,,,,,,,,,http://www.ultraagentindustries.com/,2026-01-22 01:48:24,Bestseller
nitinfab,https://substack.com/@nitinfab,7900,,,,,,,,,,,,https://nitinfab.gumroad.com/,2026-01-22 01:48:24,Bestseller
realtimhack,https://substack.com/@realtimhack,526,https://twitter.com/realTimHack,,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
danamomto4,https://substack.com/@danamomto4,1000,,https://instagram.com/frawlin_out,https://tiktok.com/@frawlin_out,,,,,,,,,,2026-01-22 01:48:24,Bestseller
finalgirldigital,https://substack.com/@finalgirldigital,17000,,https://www.instagram.com/finalgirldigital/,,,,https://www.youtube.com/@FinalGirlDigital/featured,,,,,,,2026-01-22 01:48:24,Bestseller
arslanah,https://substack.com/@arslanah,14000,,,,,,,,,,,,https://www.designgurus.io/,2026-01-22 01:48:24,Bestseller
camerontrimble,https://substack.com/@camerontrimble,11000,,,,,,,,,,,,https://www.pilotingfaith.org/?utm_campaign=profile_chips,2026-01-22 01:48:24,Bestseller
expresscheckout,https://substack.com/@expresscheckout,9100,,https://instagram.com/expresscheckout,https://tiktok.com/@nate.rosen,,,,,,,,,https://expresscheckout.co/?utm_campaign=profile_chips,2026-01-22 01:48:24,Bestseller
valerieribon,https://substack.com/@valerieribon,4400,,https://instagram.com/valerieribon,https://tiktok.com/@valerieribon,,,,,,,,,,2026-01-22 01:48:24,Bestseller
